"visit_id","user_id","visit_start_time","page_views","cart_adds","purchase","campaign_name","impression","click","cart_items"
"02a5d5",1,"2020-02-26 16:57:26.260871",4,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"0826dc",1,"2020-02-26 05:58:37.918618",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"0fc437",1,"2020-02-04 17:49:49.602976",10,6,1,"Half Off - Treat Your Shellf(ish)",1,1,"Tuna, Russian Caviar, Black Truffle, Abalone, Crab, Oyster"
"30b94d",1,"2020-03-15 13:12:54.023936",9,7,1,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Kingfish, Tuna, Russian Caviar, Abalone, Lobster, Crab"
"41355d",1,"2020-03-25 00:11:17.860655",6,1,0,"Half Off - Treat Your Shellf(ish)",0,0,"Lobster"
"ccf365",1,"2020-02-04 19:16:09.182546",7,3,1,"Half Off - Treat Your Shellf(ish)",0,0,"Lobster, Crab, Oyster"
"eaffde",1,"2020-03-25 20:06:32.342989",10,8,1,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Tuna, Russian Caviar, Black Truffle, Abalone, Lobster, Crab, Oyster"
"f7c798",1,"2020-03-15 02:23:26.312543",9,3,1,"Half Off - Treat Your Shellf(ish)",0,0,"Russian Caviar, Crab, Oyster"
"0635fb",2,"2020-02-16 06:42:42.73573",9,4,1,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon, Kingfish, Abalone, Crab"
"1f1198",2,"2020-02-01 21:51:55.078775",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"3b5871",2,"2020-01-18 10:16:32.158475",9,6,1,"25% Off - Living The Lux Life",1,1,"Salmon, Kingfish, Russian Caviar, Black Truffle, Lobster, Oyster"
"49d73d",2,"2020-02-16 06:21:27.138532",11,9,1,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Kingfish, Tuna, Russian Caviar, Black Truffle, Abalone, Lobster, Crab, Oyster"
"910d9a",2,"2020-02-01 10:40:46.875968",8,1,0,"Half Off - Treat Your Shellf(ish)",0,0,"Abalone"
"c5c0ee",2,"2020-01-18 10:35:22.765382",1,0,0,"25% Off - Living The Lux Life",0,0,NULL
"d58cbd",2,"2020-01-18 23:40:54.761906",8,4,0,"25% Off - Living The Lux Life",0,0,"Kingfish, Tuna, Abalone, Crab"
"e26a84",2,"2020-01-18 16:06:40.90728",6,2,1,"25% Off - Living The Lux Life",0,0,"Salmon, Oyster"
"25502e",3,"2020-02-21 11:26:15.353389",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"76ee84",3,"2020-05-28 20:11:54.997406",7,3,1,NULL,0,0,"Salmon, Lobster, Crab"
"791afc",3,"2020-04-29 00:37:16.741118",8,2,1,NULL,0,0,"Salmon, Oyster"
"7e89a0",3,"2020-05-28 10:57:51.749847",9,6,0,NULL,1,1,"Salmon, Tuna, Russian Caviar, Black Truffle, Lobster, Crab"
"80e2fe",3,"2020-04-08 04:08:00.231658",10,5,1,NULL,0,0,"Salmon, Tuna, Russian Caviar, Abalone, Oyster"
"8902ad",3,"2020-04-29 22:56:53.062046",10,6,0,NULL,1,1,"Russian Caviar, Black Truffle, Abalone, Lobster, Crab, Oyster"
"9a2f24",3,"2020-02-21 03:19:10.032455",6,2,1,"Half Off - Treat Your Shellf(ish)",0,0,"Kingfish, Black Truffle"
"bf200a",3,"2020-03-11 04:10:26.708385",7,2,1,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon, Crab"
"dda9ae",3,"2020-04-08 18:24:44.8597",10,8,1,NULL,1,1,"Salmon, Tuna, Russian Caviar, Black Truffle, Abalone, Lobster, Crab, Oyster"
"eb13cd",3,"2020-03-11 21:36:37.222763",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"07a950",4,"2020-03-19 17:56:24.610445",6,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"4c0ce3",4,"2020-02-22 19:42:45.498271",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"7caba5",4,"2020-02-22 17:49:37.646174",5,2,0,"Half Off - Treat Your Shellf(ish)",0,0,"Tuna, Lobster"
"b90e25",4,"2020-03-19 11:01:58.182947",9,4,1,"Half Off - Treat Your Shellf(ish)",1,1,"Tuna, Black Truffle, Lobster, Crab"
"05c52a",5,"2020-02-11 12:30:33.479052",9,8,0,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Kingfish, Tuna, Russian Caviar, Black Truffle, Abalone, Lobster, Crab"
"4bffe1",5,"2020-02-26 16:03:10.377881",8,1,0,"Half Off - Treat Your Shellf(ish)",0,0,"Russian Caviar"
"580bf6",5,"2020-02-11 04:05:42.307991",8,6,0,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon, Tuna, Russian Caviar, Black Truffle, Abalone, Lobster"
"b45feb",5,"2020-02-01 07:47:45.025247",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"f61ed7",5,"2020-02-01 06:30:39.766168",8,2,1,"Half Off - Treat Your Shellf(ish)",0,0,"Lobster, Crab"
"fa70cb",5,"2020-02-26 11:12:20.361638",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"12c0d3",6,"2020-02-21 05:07:31.5306",10,8,1,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Tuna, Russian Caviar, Black Truffle, Abalone, Lobster, Crab, Oyster"
"484e93",6,"2020-01-25 14:30:16.768042",1,0,0,"25% Off - Living The Lux Life",0,0,NULL
"9b418e",6,"2020-02-21 12:31:37.427885",9,3,1,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon, Russian Caviar, Abalone"
"e0ce49",6,"2020-01-25 22:43:21.482933",9,3,1,"25% Off - Living The Lux Life",0,0,"Tuna, Lobster, Oyster"
"0c27fe",7,"2020-04-10 19:19:50.288755",9,6,1,NULL,1,1,"Salmon, Kingfish, Tuna, Abalone, Lobster, Crab"
"1241e8",7,"2020-02-09 06:31:24.183039",4,1,1,"Half Off - Treat Your Shellf(ish)",1,0,"Lobster"
"503ac3",7,"2020-03-18 01:06:10.253372",7,4,0,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon, Tuna, Russian Caviar, Lobster"
"69630f",7,"2020-04-13 03:19:27.352647",1,0,0,NULL,0,0,NULL
"7ae259",7,"2020-02-25 15:03:09.664705",10,3,1,"Half Off - Treat Your Shellf(ish)",0,0,"Kingfish, Abalone, Crab"
"8479c1",7,"2020-02-09 17:27:58.86766",5,1,1,"Half Off - Treat Your Shellf(ish)",0,0,"Oyster"
"8dd946",7,"2020-02-25 05:51:07.885298",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"8e9085",7,"2020-03-18 08:41:39.820872",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"9bfcd5",7,"2020-04-13 16:12:13.494096",9,2,1,NULL,0,0,"Kingfish, Abalone"
"e028ca",7,"2020-04-10 21:32:51.897056",7,3,1,NULL,0,0,"Kingfish, Abalone, Crab"
"0f154b",8,"2020-03-24 08:49:39.785342",9,4,0,"Half Off - Treat Your Shellf(ish)",0,0,"Tuna, Russian Caviar, Abalone, Oyster"
"15a166",8,"2020-03-24 17:03:20.97569",10,7,1,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Tuna, Russian Caviar, Black Truffle, Lobster, Crab, Oyster"
"25926c",8,"2020-03-05 21:01:12.13191",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"9e43f3",8,"2020-04-11 01:18:52.062551",1,0,0,NULL,0,0,NULL
"a6c424",8,"2020-02-12 11:23:54.788493",7,2,0,"Half Off - Treat Your Shellf(ish)",0,0,"Tuna, Oyster"
"aa4286",8,"2020-03-05 17:10:57.621946",4,2,1,"Half Off - Treat Your Shellf(ish)",0,0,"Tuna, Crab"
"e0ce31",8,"2020-04-11 23:54:53.341422",7,4,1,NULL,0,0,"Kingfish, Black Truffle, Abalone, Lobster"
"f3637a",8,"2020-02-12 09:26:31.659004",6,1,1,"Half Off - Treat Your Shellf(ish)",1,0,"Crab"
"046f60",9,"2020-02-07 16:29:46.537933",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"24f9d6",9,"2020-03-01 23:35:31.791159",5,1,0,"Half Off - Treat Your Shellf(ish)",0,0,"Kingfish"
"2a7f8c",9,"2020-03-15 19:21:32.501329",7,1,0,"Half Off - Treat Your Shellf(ish)",0,0,"Kingfish"
"31e056",9,"2020-03-26 23:32:20.711621",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"3ab272",9,"2020-02-26 23:08:31.438408",6,1,0,"Half Off - Treat Your Shellf(ish)",0,0,"Tuna"
"484ece",9,"2020-03-26 12:49:02.257348",9,4,1,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon, Black Truffle, Lobster, Crab"
"54eda3",9,"2020-03-15 06:18:59.600763",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"5ef346",9,"2020-02-07 17:32:44.707846",7,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"6fc659",9,"2020-03-01 21:25:25.847249",10,5,1,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Tuna, Black Truffle, Lobster, Oyster"
"7839e9",9,"2020-02-26 21:10:55.667498",6,2,0,"Half Off - Treat Your Shellf(ish)",1,0,"Abalone, Crab"
"32949a",10,"2020-02-21 21:04:20.537707",10,8,1,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Kingfish, Tuna, Russian Caviar, Black Truffle, Abalone, Lobster, Crab"
"330557",10,"2020-02-21 23:43:41.15287",5,1,1,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon"
"69a7a2",10,"2020-01-27 00:24:21.835745",9,6,1,"25% Off - Living The Lux Life",1,1,"Salmon, Kingfish, Tuna, Abalone, Lobster, Oyster"
"8a0a22",10,"2020-01-24 10:43:40.230964",7,4,1,"25% Off - Living The Lux Life",1,1,"Tuna, Abalone, Lobster, Oyster"
"8baa69",10,"2020-01-24 20:17:07.546596",8,3,1,"25% Off - Living The Lux Life",0,0,"Kingfish, Tuna, Lobster"
"d39d35",10,"2020-01-23 21:47:03.576066",7,3,1,"25% Off - Living The Lux Life",0,0,"Kingfish, Russian Caviar, Lobster"
"f904fb",10,"2020-01-27 11:42:29.071403",9,2,1,"25% Off - Living The Lux Life",0,0,"Salmon, Tuna"
"fe2f8f",10,"2020-01-23 14:03:30.523581",1,0,0,"25% Off - Living The Lux Life",0,0,NULL
"0d09fa",11,"2020-02-23 13:00:24.558229",8,3,1,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon, Black Truffle, Oyster"
"1959ab",11,"2020-01-17 20:15:12.623035",11,7,1,"25% Off - Living The Lux Life",1,1,"Salmon, Kingfish, Russian Caviar, Black Truffle, Lobster, Crab, Oyster"
"540999",11,"2020-02-18 21:48:55.236519",10,6,1,"Half Off - Treat Your Shellf(ish)",0,0,"Salmon, Tuna, Black Truffle, Abalone, Lobster, Crab"
"55eb25",11,"2020-02-14 07:26:43.435413",8,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"5e3926",11,"2020-02-14 14:31:32.762157",7,3,0,"Half Off - Treat Your Shellf(ish)",1,0,"Kingfish, Black Truffle, Abalone"
"8217a7",11,"2020-02-23 23:04:04.400662",10,7,1,"Half Off - Treat Your Shellf(ish)",1,1,"Kingfish, Russian Caviar, Black Truffle, Abalone, Lobster, Crab, Oyster"
"9c2633",11,"2020-01-17 04:59:43.046418",8,2,0,"25% Off - Living The Lux Life",0,0,"Kingfish, Lobster"
"daf4c9",11,"2020-02-18 07:38:09.974494",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
"22f79f",12,"2020-02-06 22:48:48.758661",10,7,1,"Half Off - Treat Your Shellf(ish)",1,1,"Kingfish, Tuna, Russian Caviar, Abalone, Lobster, Crab, Oyster"
"3362fa",12,"2020-04-27 23:18:14.532991",11,6,1,NULL,1,1,"Salmon, Kingfish, Tuna, Russian Caviar, Black Truffle, Oyster"
"462645",12,"2020-02-14 08:11:23.844892",10,5,0,"Half Off - Treat Your Shellf(ish)",1,1,"Salmon, Russian Caviar, Black Truffle, Abalone, Crab"
"5dd284",12,"2020-03-06 05:06:31.933659",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0,NULL
