"user_id","visit_id","event_name","sequence_number","event_time","page_name","product_category"
1,"ccf365","Page View",1,"2020-02-04 19:16:09.182546","Home Page",NULL
1,"ccf365","Page View",2,"2020-02-04 19:16:17.358191","All Products",NULL
1,"ccf365","Page View",3,"2020-02-04 19:16:58.454669","Russian Caviar","Luxury"
1,"ccf365","Page View",4,"2020-02-04 19:16:58.609142","Lobster","Shellfish"
1,"ccf365","Add to Cart",5,"2020-02-04 19:17:51.72942","Lobster","Shellfish"
1,"ccf365","Page View",6,"2020-02-04 19:18:11.605815","Crab","Shellfish"
1,"ccf365","Add to Cart",7,"2020-02-04 19:19:10.570786","Crab","Shellfish"
1,"ccf365","Page View",8,"2020-02-04 19:19:46.911728","Oyster","Shellfish"
1,"ccf365","Add to Cart",9,"2020-02-04 19:20:45.27469","Oyster","Shellfish"
1,"ccf365","Page View",10,"2020-02-04 19:20:52.307244","Checkout",NULL
1,"ccf365","Purchase",11,"2020-02-04 19:21:26.242563","Confirmation",NULL
2,"d58cbd","Page View",1,"2020-01-18 23:40:54.761906","Home Page",NULL
2,"d58cbd","Page View",2,"2020-01-18 23:41:06.391027","All Products",NULL
2,"d58cbd","Page View",3,"2020-01-18 23:42:02.213001","Kingfish","Fish"
2,"d58cbd","Add to Cart",4,"2020-01-18 23:42:02.370046","Kingfish","Fish"
2,"d58cbd","Page View",5,"2020-01-18 23:42:44.717024","Tuna","Fish"
2,"d58cbd","Add to Cart",6,"2020-01-18 23:43:11.121855","Tuna","Fish"
2,"d58cbd","Page View",7,"2020-01-18 23:43:25.806239","Black Truffle","Luxury"
2,"d58cbd","Page View",8,"2020-01-18 23:43:40.537995","Abalone","Shellfish"
2,"d58cbd","Add to Cart",9,"2020-01-18 23:44:14.026393","Abalone","Shellfish"
2,"d58cbd","Page View",10,"2020-01-18 23:44:22.103768","Crab","Shellfish"
2,"d58cbd","Add to Cart",11,"2020-01-18 23:45:00.004781","Crab","Shellfish"
2,"d58cbd","Page View",12,"2020-01-18 23:45:38.186554","Checkout",NULL
3,"9a2f24","Page View",1,"2020-02-21 03:19:10.032455","Home Page",NULL
3,"9a2f24","Page View",2,"2020-02-21 03:19:24.677901","Kingfish","Fish"
3,"9a2f24","Add to Cart",3,"2020-02-21 03:19:48.146489","Kingfish","Fish"
3,"9a2f24","Page View",4,"2020-02-21 03:20:13.39183","Black Truffle","Luxury"
3,"9a2f24","Add to Cart",5,"2020-02-21 03:20:13.869733","Black Truffle","Luxury"
3,"9a2f24","Page View",6,"2020-02-21 03:20:45.854556","Crab","Shellfish"
3,"9a2f24","Page View",7,"2020-02-21 03:21:20.335104","Oyster","Shellfish"
3,"9a2f24","Page View",8,"2020-02-21 03:21:43.262109","Checkout",NULL
3,"9a2f24","Purchase",9,"2020-02-21 03:22:22.501245","Confirmation",NULL
4,"7caba5","Page View",1,"2020-02-22 17:49:37.646174","Home Page",NULL
4,"7caba5","Page View",2,"2020-02-22 17:50:23.736729","Kingfish","Fish"
4,"7caba5","Page View",3,"2020-02-22 17:50:26.878153","Tuna","Fish"
4,"7caba5","Add to Cart",4,"2020-02-22 17:51:17.963956","Tuna","Fish"
4,"7caba5","Page View",5,"2020-02-22 17:51:53.119277","Abalone","Shellfish"
4,"7caba5","Page View",6,"2020-02-22 17:52:21.958526","Lobster","Shellfish"
4,"7caba5","Add to Cart",7,"2020-02-22 17:52:56.251508","Lobster","Shellfish"
5,"f61ed7","Page View",1,"2020-02-01 06:30:39.766168","Home Page",NULL
5,"f61ed7","Page View",2,"2020-02-01 06:30:50.502402","All Products",NULL
